State_Code,District_Code,Region,Census_Year,Persons,Variation_Absolute,Variation_Percentage,Males,Females
00,000,INDIA,1901,238396327,,,120791301,117358672
00,,INDIA,1911,252093390,+13697063,+5.75,128385368,123708022
00,,INDIA,1921,251321213,-772177,-0.31,128546225,122774988
00,,INDIA,1931,278977238,+27656025,+11.00,142929689,135788921
00,,INDIA,1941,318660580,+39683342,+14.22,163685302,154690267
00,,INDIA,1951,361088090,+42420485,+13.31,185528462,175559628
00,,INDIA,1961,439234771,+77682873,+21.51,226293201,212941570
00,,INDIA,1971,548159652,+108924881,+24.80,284049276,264110376
00,,INDIA,1981,683329097,+135169445,+24.66,353374460,329954637
00,,INDIA,1991,846421039,+163091942,+23.87,439358440,407062599
00,,INDIA,2001,1028737436,+182316397,+21.54,532223090,496514346
00,,INDIA,2011,1210854977,+182117541,+17.70,623270258,587584719
01,000,Jammu & Kashmir,1901,2139362,,,1136766,1002596
01,,Jammu & Kashmir,1911,2292535,+153173,+7.16,1222305,1070230
01,,Jammu & Kashmir,1921,2424359,+131824,+5.75,1296205,1128154
01,,Jammu & Kashmir,1931,2670208,+245849,+10.14,1431801,1238407
01,,Jammu & Kashmir,1941,2946728,+276520,+10.36,1577021,1369707
01,,Jammu & Kashmir,1951,3253852,+307124,+10.42,1736827,1517025
01,,Jammu & Kashmir,1961,3560976,+307124,+9.44,1896633,1664343
01,,Jammu & Kashmir,1971,4616632,+1055656,+29.65,2458315,2158317
01,,Jammu & Kashmir,1981,5987389,+1370757,+29.69,3164660,2822729
01,,Jammu & Kashmir,1991,7837051,+1849662,+30.89,4142082,3694969
01,,Jammu & Kashmir,2001,10143700,+2306649,+29.43,5360926,4782774
01,,Jammu & Kashmir,2011,12541302,+2397602,+23.64,6640662,5900640
02,000,Himachal Pradesh,1901,1920294,,,1019069,901225
02,,Himachal Pradesh,1911,1896944,-23350,-1.22,1004183,892761
02,,Himachal Pradesh,1921,1928206,+31262,+1.65,1020201,908005
02,,Himachal Pradesh,1931,2029113,+100907,+5.23,1069540,959573
02,,Himachal Pradesh,1941,2263245,+234132,+11.54,1197620,1065625
02,,Himachal Pradesh,1951,2385981,+122736,+5.42,1247826,1138155
02,,Himachal Pradesh,1961,2812463,+426482,+17.87,1451334,1361129
02,,Himachal Pradesh,1971,3460434,+647971,+23.04,1766957,1693477
02,,Himachal Pradesh,1981,4280818,+820384,+23.71,2169931,2110887
02,,Himachal Pradesh,1991,5170877,+890059,+20.79,2617467,2553410
02,,Himachal Pradesh,2001,6077900,+907023,+17.54,3087940,2989960
02,,Himachal Pradesh,2011,6864602,+786702,+12.94,3481873,3382729
03,000,Punjab,1901,7544790,,,4118386,3426404
03,,Punjab,1911,6731510,-813280,-10.78,3782236,2949274
03,,Punjab,1921,7152811,+421301,+6.26,3976180,3176631
03,,Punjab,1931,8012325,+859514,+12.02,4415292,3597033
03,,Punjab,1941,9600236,+1587911,+19.82,5228280,4371956
03,,Punjab,1951,9160500,-439736,-4.58,4968206,4192294
03,,Punjab,1961,11135069,+1974569,+21.56,6007566,5127503
03,,Punjab,1971,13551060,+2415991,+21.70,7266515,6284545
03,,Punjab,1981,16788915,+3237855,+23.89,8937210,7851705
03,,Punjab,1991,20281969,+3493054,+20.81,10778034,9503935
03,,Punjab,2001,24358999,+4077030,+20.10,12985045,11373954
03,,Punjab,2011,27743338,+3384339,+13.89,14639465,13103873
04,000,Chandigarh,1901,21967,,,12402,9565
04,,Chandigarh,1911,18437,-3530,-16.07,10717,7720
04,,Chandigarh,1921,18133,-304,-1.65,10405,7728
04,,Chandigarh,1931,19783,+1650,+9.10,11300,8483
04,,Chandigarh,1941,22574,+2791,+14.11,12807,9767
04,,Chandigarh,1951,24261,+1687,+7.47,13623,10638
04,,Chandigarh,1961,119881,+95620,+394.13,72576,47305
04,,Chandigarh,1971,257251,+137370,+114.59,147080,110171
04,,Chandigarh,1981,451610,+194359,+75.55,255278,196332
04,,Chandigarh,1991,642015,+190405,+42.16,358614,283401
04,,Chandigarh,2001,900635,+258620,+40.28,506938,393697
04,,Chandigarh,2011,1055450,+154815,+17.19,580663,474787
05,000,Uttarakhand,1901,1979866,,,1032166,947700
05,,Uttarakhand,1911,2142258,+162392,+8.20,1123165,1019093
05,,Uttarakhand,1921,2115984,-26274,-1.23,1104586,1011398
05,,Uttarakhand,1931,2301019,+185035,+8.74,1202594,1098425
05,,Uttarakhand,1941,2614540,+313521,+13.63,1371233,1243307
05,,Uttarakhand,1951,2945929,+331389,+12.67,1518844,1427085
05,,Uttarakhand,1961,3610938,+665009,+22.57,1854269,1756669
05,,Uttarakhand,1971,4492724,+881786,+24.42,2315453,2177271
05,,Uttarakhand,1981,5725972,+1233248,+27.45,2957847,2768125
05,,Uttarakhand,1991,7050634,+1324662,+23.13,3640895,3409739
05,,Uttarakhand,2001,8489349,+1438715,+20.41,4325924,4163425
05,,Uttarakhand,2011,10086292,+1596943,+18.81,5137773,4948519
06,000,Haryana,1901,4623064,,,2476390,2146674
06,,Haryana,1911,4174677,-448387,-9.70,2274909,1899768
06,,Haryana,1921,4255892,+81215,+1.95,2307985,1947907
06,,Haryana,1931,4559917,+304025,+7.14,2473228,2086689
06,,Haryana,1941,5272829,+712912,+15.63,2821783,2451046
06,,Haryana,1951,5673597,+400768,+7.60,3031612,2641985
06,,Haryana,1961,7590524,+1916927,+33.79,4062787,3527737
06,,Haryana,1971,10036431,+2445907,+32.22,5377044,4659387
06,,Haryana,1981,12922119,+2885688,+28.75,6909679,6012440
06,,Haryana,1991,16463648,+3541529,+27.41,8827474,7636174
06,,Haryana,2001,21144564,+4680916,+28.43,11363953,9780611
06,,Haryana,2011,25351462,+4206898,+19.90,13494734,11856728
07,000,NCT OF Delhi,1901,405819,,,217921,187898
07,,NCT OF Delhi,1911,413851,+8032,+1.98,230865,182986
07,,NCT OF Delhi,1921,488452,+74601,+18.03,281777,206675
07,,NCT OF Delhi,1931,636246,+147794,+30.26,369497,266749
07,,NCT OF Delhi,1941,917939,+281693,+44.27,535236,382703
07,,NCT OF Delhi,1951,1744072,+826133,+90.00,986538,757534
07,,NCT OF Delhi,1961,2658612,+914540,+52.44,1489378,1169234
07,,NCT OF Delhi,1971,4065698,+1407086,+52.93,2257515,1808183
07,,NCT OF Delhi,1981,6220406,+2154708,+53.00,3440081,2780325
07,,NCT OF Delhi,1991,9420644,+3200238,+51.45,5155512,4265132
07,,NCT OF Delhi,2001,13850507,+4429863,+47.02,7607234,6243273
07,,NCT OF Delhi,2011,16787941,+2937434,+21.21,8987326,7800615
08,000,Rajasthan,1901,10294090,,,5403989,4890101
08,,Rajasthan,1911,10983509,+689419,+6.70,5756206,5227303
08,,Rajasthan,1921,10292648,-690861,-6.29,5429378,4863270
08,,Rajasthan,1931,11747974,+1455326,+14.14,6160610,5587364
08,,Rajasthan,1941,13863859,+2115885,+18.01,7274679,6589180
08,,Rajasthan,1951,15970774,+2106915,+15.20,8313883,7656891
08,,Rajasthan,1961,20155602,+4184828,+26.20,10564082,9591520
08,,Rajasthan,1971,25765806,+5610204,+27.83,13484383,12281423
08,,Rajasthan,1981,34261862,+8496056,+32.97,17854154,16407708
08,,Rajasthan,1991,44005990,+9744128,+28.44,23042780,20963210
08,,Rajasthan,2001,56507188,+12501198,+28.41,29420011,27087177
08,,Rajasthan,2011,68548437,+12041249,+21.31,35550997,32997440
09,000,Uttar Pradesh,1901,46647804,,,24066836,22580968
09,,Uttar Pradesh,1911,46012663,-635141,-1.36,24021001,21991662
09,,Uttar Pradesh,1921,44556427,-1456236,-3.16,23347896,21208531
09,,Uttar Pradesh,1931,47478533,+2922106,+6.56,24945773,22532760
09,,Uttar Pradesh,1941,53920630,+6442097,+13.57,28269504,25651126
09,,Uttar Pradesh,1951,60273743,+6353113,+11.78,31581889,28691854
09,,Uttar Pradesh,1961,70143635,+9869892,+16.38,36784048,33359587
09,,Uttar Pradesh,1971,83848797,+13705162,+19.54,44701182,39147615
09,,Uttar Pradesh,1981,105136540,+21287743,+25.39,55861688,49274852
09,,Uttar Pradesh,1991,132061653,+26925113,+25.61,70396062,61665591
09,,Uttar Pradesh,2001,166197921,+34136268,+25.85,87565369,78632552
09,,Uttar Pradesh,2011,199812341,+33614420,+20.23,104480510,95331831
10,000,Bihar,1901,21243632,,,10308300,10935332
10,,Bihar,1911,21567159,+323527,+1.52,10516050,11051109
10,,Bihar,1921,21358905,-208254,-0.97,10573105,10785800
10,,Bihar,1931,23438371,+2079466,+9.74,11748053,11690318
10,,Bihar,1941,26302771,+2864400,+12.22,13138759,13164012
10,,Bihar,1951,29085017,+2782246,+10.58,14545921,14539096
10,,Bihar,1961,34840968,+5755951,+19.79,17375442,17465526
10,,Bihar,1971,42126236,+7285268,+20.91,21530724,20595512
10,,Bihar,1981,52302665,+10176429,+24.16,26850116,25452549
10,,Bihar,1991,64530554,+12227889,+23.38,33838238,30692316
10,,Bihar,2001,82998509,+18467955,+28.62,43243795,39754714
10,,Bihar,2011,104099452,+21100943,+25.42,54278157,49821295
11,000,Sikkim,1901,59014,,,30795,28219
11,,Sikkim,1911,87920,+28906,+48.98,45059,42861
11,,Sikkim,1921,81721,-6199,-7.05,41492,40229
11,,Sikkim,1931,109808,+28087,+34.37,55825,53983
11,,Sikkim,1941,121520,+11712,+10.67,63289,58231
11,,Sikkim,1951,137725,+16205,+13.34,72210,65515
11,,Sikkim,1961,162189,+24464,+17.76,85193,76996
11,,Sikkim,1971,209843,+47654,+29.38,112662,97181
11,,Sikkim,1981,316385,+106542,+50.77,172440,143945
11,,Sikkim,1991,406457,+90072,+28.47,216427,190030
11,,Sikkim,2001,540851,134394,+33.06,288484,252367
11,,Sikkim,2011,610577,+69726,+12.89,323070,287507
12,000,Arunachal Pradesh *,1901,.,-,-,..,..
12,,Arunachal Pradesh *,1911,.,.,.,..,..
12,,Arunachal Pradesh *,1921,.,.,.,..,..
12,,Arunachal Pradesh *,1931,.,.,.,..,..
12,,Arunachal Pradesh *,1941,.,.,.,..,..
12,,Arunachal Pradesh *,1951,.,.,.,..,..
12,,Arunachal Pradesh *,1961,336558,.,.,177680,158878
12,,Arunachal Pradesh *,1971,467511,+130953,+38.91,251231,216280
12,,Arunachal Pradesh *,1981,631839,+164328,+35.15,339322,292517
12,,Arunachal Pradesh *,1991,864558,+232719,+36.83,465004,399554
12,,Arunachal Pradesh *,2001,1097968,+233410,+27.00,579941,518027
12,,Arunachal Pradesh *,2011,1383727,+285759,+26.03,713912,669815
13,000,Nagaland   ^,1901,101550,,,51473,50077
13,,Nagaland   ^,1911,149038,+47488,+46.76,74796,74242
13,,Nagaland   ^,1921,158801,+9763,+6.55,79738,79063
13,,Nagaland   ^,1931,178844,+20043,+12.62,89536,89308
13,,Nagaland   ^,1941,189641,+10797,+6.04,93831,95810
13,,Nagaland   ^,1951,212975,+16309,+8.60,106551,106424
13,,Nagaland   ^,1961,369200,+28975,+14.07,191027,178173
13,,Nagaland   ^,1971,516449,+147249,+39.88,276084,240365
13,,Nagaland   ^,1981,774930,+258481,+50.05,415910,359020
13,,Nagaland   ^,1991,1209546,+434616,+56.08,641282,568264
13,,Nagaland   ^,2001,1990036,+780490,+64.53,1047141,942895
13,,Nagaland   ^,2011,1978502,-11534,-0.58,1024649,953853
14,000,Manipur,1901,284465,,,139632,144833
14,,Manipur,1911,346222,+61757,+21.71,170666,175556
14,,Manipur,1921,384016,+37794,+10.92,188119,195897
14,,Manipur,1931,445606,+61590,+16.04,215815,229791
14,,Manipur,1941,512069,+66463,+14.92,249183,262886
14,,Manipur,1951,577635,+65566,+12.80,283685,293950
14,,Manipur,1961,780037,+202402,+35.04,387058,392979
14,,Manipur,1971,1072753,+292716,+37.53,541675,531078
14,,Manipur,1981,1420953,+348200,+32.46,721006,699947
14,,Manipur,1991,1837149,+416196,+29.29,938359,898790
14,,Manipur,2001,2293896,+456747,+24.86,1161952,1131944
14,,Manipur,2011,2855794,+561898,+24.50,1438586,1417208
15,000,Mizoram,1901,82434,,,39004,43430
15,,Mizoram,1911,91204,+8770,+10.64,43028,48176
15,,Mizoram,1921,98406,+7202,+7.90,46652,51754
15,,Mizoram,1931,124404,+25998,+26.42,59186,65218
15,,Mizoram,1941,152786,+28382,+22.81,73855,78931
15,,Mizoram,1951,196202,+43416,+28.42,96136,100066
15,,Mizoram,1961,266063,+69861,+35.61,132465,133598
15,,Mizoram,1971,332390,+66327,+24.93,170824,161566
15,,Mizoram,1981,493757,+161367,+48.55,257239,236518
15,,Mizoram,1991,689756,+195999,+39.70,358978,330778
15,,Mizoram,2001,888573,+198817,+28.82,459109,429464
15,,Mizoram,2011,1097206,+208633,+23.48,555339,541867
16,000,Tripura,1901,173325,,,92495,80830
16,,Tripura,1911,229613,+56288,+32.48,121820,107793
16,,Tripura,1921,304437,+74824,+32.59,161515,142922
16,,Tripura,1931,382450,+78013,+25.63,202932,179518
16,,Tripura,1941,513010,+130560,+34.14,272025,240985
16,,Tripura,1951,639029,+126019,+24.56,335589,303440
16,,Tripura,1961,1142005,+502976,+78.71,591237,550768
16,,Tripura,1971,1556342,+414337,+36.28,801126,755216
16,,Tripura,1981,2053058,+496716,+31.92,1054846,998212
16,,Tripura,1991,2757205,+704147,+34.30,1417930,1339275
16,,Tripura,2001,3199203,+441998,+16.03,1642225,1556978
16,,Tripura,2011,3673917,+474714,+14.84,1874376,1799541
17,000,Meghalaya,1901,340524,,,167256,173268
17,,Meghalaya,1911,394005,+53481,+15.71,195706,198299
17,,Meghalaya,1921,422403,+28398,+7.21,211216,211187
17,,Meghalaya,1931,480837,+58434,+13.83,243993,236844
17,,Meghalaya,1941,555820,+74983,+15.59,282666,273154
17,,Meghalaya,1951,605674,+49854,+8.97,310706,294968
17,,Meghalaya,1961,769380,+163706,+27.03,397288,372092
17,,Meghalaya,1971,1011699,+242319,+31.50,520967,490732
17,,Meghalaya,1981,1335819,+324120,+32.04,683710,652109
17,,Meghalaya,1991,1774778,+438959,+32.86,907687,867091
17,,Meghalaya,2001,2318822,+544044,+30.65,1176087,1142735
17,,Meghalaya,2011,2966889,+648067,+27.95,1491832,1475057
18,000,Assam,1901,3289680,,,1714316,1575364
18,,Assam,1911,3848617,+558937,+16.99,2010211,1838406
18,,Assam,1921,4636980,+788363,+20.48,2445300,2191680
18,,Assam,1931,5560371,+923391,+19.91,2966568,2593803
